2000	1	369.185
2000	2	369.19
2000	3	369.845
2000	4	370.55
2000	5	370.145
2000	6	370.6
2000	7	369.53
2000	8	368.925
2000	9	368.65
2000	10	368.65
2000	11	369.345
2000	12	369.985
2001	1	370.51
2001	2	371.145
2001	3	371.675
2001	4	372.09
2001	5	372.385
2001	6	372.105
2001	7	371.2
2001	8	370.415
2001	9	369.81
2001	10	370.065
2001	11	370.75
2001	12	371.58
2002	1	372.415
2002	2	372.76
2002	3	373.28
2002	4	373.7
2002	5	374.29
2002	6	374.41
2002	7	373.715
2002	8	372.685
2002	9	372.43
2002	10	372.215
2002	11	373.295
2002	12	374.165
2003	1	374.755
2003	2	375.205
2003	3	375.625
2003	4	376.395
2003	5	377.075
2003	6	377.16
2003	7	376.445
2003	8	375.23
2003	9	374.825
2003	10	374.805
2003	11	375.735
2003	12	376.37
2004	1	376.895
2004	2	377.445
2004	3	378.055
2004	4	378.985
2004	5	379.05
2004	6	378.54
2004	7	377.205
2004	8	376.875
2004	9	375.935
2004	10	376.14
2004	11	377.235
2004	12	377.91
2005	1	378.335
2005	2	379.33
2005	3	380.02
2005	4	380.975
2005	5	380.88
2005	6	381.045
2005	7	380.465
2005	8	379.58
2005	9	378.355
2005	10	378.65
2005	11	379.42
2005	12	380.5
2006	1	381.26
2006	2	381.79
2006	3	381.905
2006	4	383.265
2006	5	383.45
2006	6	382.895
2006	7	382.185
2006	8	381.24
2006	9	380.505
2006	10	380.795
2006	11	381.265
2006	12	382.225
2007	1	382.78
2007	2	383.45
2007	3	383.765
2007	4	385.11
2007	5	384.95
2007	6	384.97
2007	7	384.26
2007	8	382.845
2007	9	382.64
2007	10	382.795
2007	11	383.545
2007	12	384.38
2008	1	385.4
2008	2	385.385
2008	3	385.255
2008	4	385.78
2008	5	386.995
2008	6	386.61
2008	7	386.08
2008	8	384.92
2008	9	384.825
2008	10	384.63
2008	11	385.275
2008	12	385.985
2009	1	386.785
2009	2	387.035
2009	3	388.07
2009	4	388.24
2009	5	388.58
2009	6	388.36
2009	7	387.79
2009	8	386.955
2009	9	386.37
2009	10	386.055
2009	11	387.09
2009	12	387.825
2010	1	388.56
2010	2	389.73
2010	3	390.41
2010	4	391.185
2010	5	391.44
2010	6	391.015
2010	7	389.96
2010	8	389.18
2010	9	388.495
2010	10	388.89
2010	11	389.73
2010	12	390.195
2011	1	391.18
2011	2	391.395
2011	3	391.84
2011	4	391.945
2011	5	392.61
2011	6	392.585
2011	7	392.27
2011	8	390.98
2011	9	390.74
2011	10	390.655
2011	11	391.355
2011	12	392.26
2012	1	393
2012	2	393.445
2012	3	393.605
2012	4	394.82
2012	5	395.14
2012	6	394.575
2012	7	394.14
2012	8	393.275
2012	9	392.84
2012	10	392.73
2012	11	393.995
2012	12	394.69
2013	1	395.475
2013	2	396.405
2013	3	396.64
2013	4	396.985
2013	5	398.095
2013	6	397.44
2013	7	397.125
2013	8	396.14
2013	9	395.215
2013	10	395.365
2013	11	396.15
2013	12	397.215
2014	1	397.7
2014	2	397.605
2014	3	398.955
2014	4	399.895
2014	5	400.08
2014	6	400.085
2014	7	398.895
2014	8	397.97
2014	9	397.17
2014	10	397.77
2014	11	398.32
2014	12	399.275
2015	1	399.855
2015	2	399.965
2015	3	400.77
2015	4	401.71
2015	5	402.235
2015	6	401.64
2015	7	401.105
2015	8	399.89
2015	9	399.44
2015	10	399.985
2015	11	401.135
2015	12	402.18
2016	1	402.365
2016	2	403.655
2016	3	404.125
2016	4	406.005
2016	5	405.975
2016	6	405.61
2016	7	404.225
2016	8	403.235
2016	9	402.86
2016	10	403.315
2016	11	404.53
2016	12	404.785
2017	1	406.025
2017	2	406.035
2017	3	406.495
2017	4	407.63
2017	5	407.94
2017	6	407.69
2017	7	406.955
2017	8	406.085
2017	9	405.165
2017	10	405.335
2017	11	406.135
2017	12	407.175
2018	1	407.81
2018	2	407.89
2018	3	408.655
2018	4	408.85
2018	5	409.49
2018	6	409.59
2018	7	408.525
2018	8	407.93
2018	9	407.315
2018	10	407.705
2018	11	409.035
2018	12	409.44
2019	1	410.68
2019	2	411.315
2019	3	411.235
2019	4	411.925
2019	5	412.89
2019	6	412.73
2019	7	411.565
2019	8	410.915
2019	9	410.335
2019	10	410.225
2019	11	411.265
2019	12	412.12
